p1,p2,co_purchase_count
prod_00161,prod_00379,2
prod_00193,prod_00675,2
prod_00644,prod_00648,2
prod_00079,prod_00676,2
prod_00728,prod_00882,2
prod_00424,prod_00564,2
prod_00465,prod_00676,2
prod_00030,prod_00716,2
prod_00167,prod_00909,2
prod_00321,prod_00611,2
prod_00529,prod_00866,2
prod_00857,prod_00988,2
prod_00199,prod_00299,2
prod_00707,prod_00750,2
prod_00414,prod_00449,2
prod_00030,prod_00182,2
prod_00715,prod_00934,2
prod_00623,prod_00804,2
prod_00529,prod_00601,2
prod_00113,prod_00814,2
prod_00055,prod_00684,2
prod_00040,prod_00200,2
prod_00326,prod_00483,2
prod_00432,prod_00598,2
prod_00166,prod_00892,2
prod_00420,prod_00939,2
prod_00384,prod_00948,2
prod_00037,prod_00177,2
prod_00290,prod_00726,2
prod_00056,prod_00759,2
prod_00924,prod_00951,2
prod_00391,prod_00501,2
prod_00145,prod_00358,2
prod_00297,prod_00444,2
prod_00161,prod_00744,2
prod_00100,prod_00545,2
prod_00252,prod_00380,2
prod_00506,prod_00712,2
prod_00211,prod_00279,2
prod_00816,prod_00913,2
prod_00058,prod_00984,2
prod_00593,prod_00813,2
prod_00755,prod_00851,2
prod_00015,prod_00615,2
prod_00040,prod_00803,2
prod_00933,prod_00986,2
prod_00674,prod_00981,2
prod_00116,prod_00885,2
prod_00732,prod_00777,2
prod_00623,prod_00999,2
prod_00011,prod_00158,2
prod_00094,prod_00816,2
prod_00117,prod_00960,2
prod_00140,prod_00920,2
prod_00088,prod_00451,2
prod_00016,prod_00093,2
prod_00145,prod_00234,2
prod_00228,prod_00918,2
prod_00170,prod_00202,2
prod_00165,prod_00368,2
prod_00551,prod_00843,2
prod_00178,prod_00220,2
prod_00537,prod_00680,2
prod_00327,prod_00385,2
prod_00190,prod_00734,2
prod_00541,prod_00937,2
prod_00256,prod_00826,2
prod_00485,prod_00786,2
prod_00012,prod_00529,2
prod_00246,prod_00736,2
prod_00611,prod_00832,2
prod_00042,prod_00885,2
prod_00204,prod_00348,2
prod_00104,prod_00604,2
prod_00737,prod_00941,2
prod_00154,prod_00609,2
prod_00074,prod_00651,2
prod_00654,prod_00985,2
prod_00143,prod_00890,2
prod_00269,prod_00819,2
prod_00025,prod_00117,2
prod_00250,prod_00753,2
prod_00533,prod_00944,2
prod_00485,prod_00522,2
prod_00623,prod_00881,2
prod_00722,prod_00867,2
prod_00311,prod_00520,2
prod_00257,prod_00729,2
prod_00826,prod_00984,2
prod_00248,prod_00522,2
prod_00335,prod_00630,2
prod_00631,prod_00857,2
prod_00137,prod_00995,2
prod_00225,prod_00382,2
prod_00623,prod_00982,2
prod_00882,prod_00936,2
prod_00795,prod_00889,2
prod_00199,prod_00959,2
prod_00153,prod_00501,2
prod_00070,prod_00148,2
prod_00818,prod_00842,2
prod_00751,prod_00995,2
prod_00136,prod_00323,2
prod_00606,prod_00698,2
prod_00039,prod_00260,2
prod_00754,prod_00984,2
prod_00230,prod_00358,2
prod_00221,prod_00857,2
prod_00065,prod_00803,2
prod_00202,prod_00814,2
prod_00575,prod_00744,2
prod_00140,prod_00184,2
prod_00190,prod_00535,2
prod_00037,prod_00740,2
prod_00170,prod_00776,2
prod_00105,prod_00967,2
prod_00442,prod_00965,2
prod_00530,prod_00795,2
prod_00183,prod_00610,2
prod_00520,prod_00821,2
prod_00158,prod_00995,2
prod_00317,prod_00354,2
prod_00066,prod_00199,2
prod_00511,prod_00530,2
prod_00222,prod_00861,2
prod_00115,prod_00141,2
prod_00430,prod_00868,2
prod_00474,prod_00876,2
prod_00304,prod_00520,2
prod_00021,prod_00802,2
prod_00433,prod_00745,2
prod_00152,prod_00286,2
prod_00229,prod_00564,2
prod_00191,prod_00840,2
prod_00089,prod_00108,2
prod_00463,prod_00606,2
prod_00537,prod_00694,2
prod_00577,prod_00703,2
prod_00140,prod_00394,2
prod_00622,prod_00901,2
prod_00473,prod_00913,2
prod_00194,prod_00522,2
prod_00021,prod_00164,2
prod_00124,prod_00520,2
prod_00274,prod_00506,2
prod_00371,prod_00683,2
prod_00024,prod_00379,2
prod_00364,prod_00655,2
prod_00155,prod_00795,2
prod_00190,prod_00339,2
prod_00104,prod_00711,2
prod_00078,prod_00749,2
prod_00065,prod_00140,2
prod_00301,prod_00929,2
prod_00639,prod_00778,2
prod_00303,prod_00318,2
prod_00169,prod_00257,2
prod_00329,prod_00643,2
prod_00542,prod_00971,2
prod_00178,prod_00801,2
prod_00390,prod_00801,2
prod_00115,prod_00425,2
prod_00144,prod_00793,2
prod_00572,prod_00610,2
prod_00028,prod_00431,2
prod_00374,prod_00818,2
prod_00283,prod_00638,2
prod_00314,prod_00785,2
prod_00144,prod_00870,2
prod_00331,prod_00496,2
prod_00522,prod_00620,2
prod_00058,prod_00679,2
prod_00662,prod_00966,2
prod_00692,prod_00814,2
prod_00124,prod_00363,2
prod_00927,prod_00985,2
prod_00666,prod_00959,2
prod_00363,prod_00985,2
prod_00541,prod_00863,2
prod_00496,prod_00793,2
prod_00022,prod_00964,2
prod_00271,prod_00572,2
prod_00031,prod_00634,2
prod_00039,prod_00815,2
prod_00531,prod_00695,2
prod_00696,prod_00880,2
prod_00730,prod_00776,2
prod_00562,prod_00865,2
prod_00274,prod_00321,2
prod_00608,prod_00945,2
prod_00776,prod_00982,2
prod_00136,prod_00959,2
prod_00826,prod_00919,2
prod_00106,prod_00312,2
prod_00419,prod_00740,2
prod_00202,prod_00395,2
prod_00252,prod_00415,2
prod_00248,prod_00833,2
prod_00250,prod_00815,2
prod_00592,prod_00631,2
prod_00240,prod_00939,2
prod_00157,prod_00695,2
prod_00116,prod_00312,2
prod_00423,prod_00596,2
prod_00281,prod_00550,2
prod_00520,prod_00776,2
prod_00079,prod_00915,2
prod_00121,prod_00390,2
prod_00084,prod_00295,2
prod_00183,prod_00721,2
prod_00214,prod_00702,2
prod_00114,prod_00843,2
prod_00674,prod_00921,2
prod_00783,prod_00934,2
prod_00558,prod_00909,2
prod_00616,prod_00650,2
prod_00152,prod_00740,2
prod_00087,prod_00120,2
prod_00074,prod_00501,2
prod_00058,prod_00858,2
prod_00020,prod_00097,2
prod_00241,prod_00525,2
prod_00121,prod_00808,2
prod_00265,prod_00809,2
prod_00743,prod_00922,2
prod_00089,prod_00907,2
prod_00622,prod_00693,2
prod_00855,prod_00941,2
prod_00302,prod_00551,2
prod_00305,prod_00560,2
prod_00100,prod_00242,2
prod_00588,prod_00791,2
prod_00492,prod_00677,2
prod_00212,prod_00990,2
prod_00074,prod_00282,2
prod_00714,prod_00902,2
prod_00747,prod_00909,2
prod_00859,prod_00928,2
prod_00733,prod_00853,2
prod_00155,prod_00548,2
prod_00656,prod_00861,2
prod_00413,prod_00672,2
prod_00367,prod_00775,2
prod_00193,prod_00446,2
prod_00312,prod_00653,2
prod_00123,prod_00392,2
prod_00112,prod_00162,2
prod_00105,prod_00810,2
prod_00476,prod_00684,2
prod_00078,prod_00907,1
prod_00049,prod_00938,1
prod_00149,prod_00725,1
prod_00185,prod_00269,1
prod_00039,prod_00612,1
prod_00371,prod_00776,1
prod_00962,prod_00973,1
prod_00393,prod_00922,1
prod_00235,prod_00369,1
prod_00335,prod_00413,1
prod_00634,prod_00959,1
prod_00117,prod_00229,1
prod_00160,prod_00205,1
prod_00690,prod_00923,1
prod_00237,prod_00497,1
prod_00552,prod_00564,1
prod_00718,prod_00722,1
prod_00245,prod_00247,1
prod_00356,prod_00885,1
prod_00650,prod_00968,1
prod_00305,prod_00702,1
prod_00298,prod_00627,1
prod_00070,prod_00168,1
prod_00324,prod_00340,1
prod_00124,prod_00778,1
prod_00451,prod_00916,1
prod_00612,prod_00798,1
prod_00171,prod_00363,1
prod_00615,prod_00680,1
prod_00408,prod_00830,1
prod_00790,prod_00856,1
prod_00323,prod_00804,1
prod_00654,prod_00908,1
prod_00347,prod_00947,1
prod_00301,prod_00448,1
prod_00093,prod_00809,1
prod_00361,prod_00380,1
prod_00139,prod_00209,1
prod_00406,prod_00946,1
prod_00036,prod_00228,1
prod_00619,prod_00712,1
prod_00690,prod_00751,1
prod_00136,prod_00963,1
prod_00299,prod_00308,1
prod_00000,prod_00989,1
prod_00423,prod_00460,1
prod_00097,prod_00268,1
prod_00286,prod_00689,1
prod_00021,prod_00600,1
prod_00690,prod_00986,1
prod_00180,prod_00744,1
prod_00118,prod_00529,1
prod_00452,prod_00818,1
prod_00746,prod_00886,1
prod_00698,prod_00937,1
prod_00134,prod_00276,1
prod_00403,prod_00666,1
prod_00189,prod_00268,1
prod_00161,prod_00892,1
prod_00268,prod_00927,1
prod_00119,prod_00270,1
prod_00477,prod_00965,1
prod_00014,prod_00865,1
prod_00475,prod_00666,1
prod_00338,prod_00829,1
prod_00181,prod_00371,1
prod_00079,prod_00529,1
prod_00338,prod_00676,1
prod_00034,prod_00440,1
prod_00380,prod_00970,1
prod_00305,prod_00325,1
prod_00287,prod_00638,1
prod_00786,prod_00968,1
prod_00731,prod_00931,1
prod_00221,prod_00759,1
prod_00185,prod_00750,1
prod_00352,prod_00754,1
prod_00221,prod_00951,1
prod_00245,prod_00951,1
prod_00036,prod_00677,1
prod_00198,prod_00748,1
prod_00053,prod_00441,1
prod_00448,prod_00769,1
prod_00508,prod_00890,1
prod_00055,prod_00394,1
prod_00714,prod_00807,1
prod_00068,prod_00120,1
prod_00553,prod_00980,1
prod_00308,prod_00639,1
prod_00097,prod_00982,1
prod_00019,prod_00916,1
prod_00195,prod_00366,1
prod_00072,prod_00385,1
prod_00050,prod_00439,1
prod_00483,prod_00740,1
prod_00974,prod_00987,1
prod_00236,prod_00627,1
prod_00008,prod_00426,1
prod_00301,prod_00425,1
prod_00469,prod_00877,1
prod_00289,prod_00311,1
prod_00107,prod_00554,1
prod_00326,prod_00801,1
prod_00181,prod_00592,1
prod_00053,prod_00965,1
prod_00699,prod_00840,1
prod_00619,prod_00775,1
prod_00143,prod_00567,1
prod_00301,prod_00620,1
prod_00678,prod_00836,1
prod_00405,prod_00676,1
prod_00473,prod_00930,1
prod_00742,prod_00841,1
prod_00502,prod_00903,1
prod_00291,prod_00305,1
prod_00069,prod_00782,1
prod_00195,prod_00950,1
prod_00601,prod_00641,1
prod_00173,prod_00760,1
prod_00284,prod_00727,1
prod_00426,prod_00581,1
prod_00476,prod_00861,1
prod_00224,prod_00525,1
prod_00863,prod_00885,1
prod_00335,prod_00766,1
prod_00619,prod_00981,1
prod_00761,prod_00969,1
prod_00014,prod_00698,1
prod_00218,prod_00220,1
prod_00582,prod_00592,1
prod_00005,prod_00583,1
prod_00398,prod_00630,1
prod_00428,prod_00546,1
prod_00009,prod_00878,1
prod_00279,prod_00994,1
prod_00674,prod_00746,1
prod_00710,prod_00772,1
prod_00163,prod_00891,1
prod_00020,prod_00049,1
prod_00325,prod_00812,1
prod_00087,prod_00835,1
prod_00003,prod_00111,1
prod_00070,prod_00791,1
prod_00053,prod_00462,1
prod_00173,prod_00439,1
prod_00232,prod_00734,1
prod_00627,prod_00762,1
prod_00360,prod_00584,1
prod_00203,prod_00323,1
prod_00050,prod_00069,1
prod_00100,prod_00761,1
prod_00507,prod_00588,1
prod_00329,prod_00720,1
prod_00773,prod_00795,1
prod_00160,prod_00956,1
prod_00275,prod_00660,1
prod_00415,prod_00509,1
prod_00725,prod_00916,1
prod_00503,prod_00587,1
prod_00091,prod_00584,1
prod_00024,prod_00931,1
prod_00313,prod_00938,1
prod_00403,prod_00994,1
prod_00388,prod_00934,1
prod_00702,prod_00884,1
prod_00124,prod_00730,1
prod_00164,prod_00892,1
prod_00122,prod_00856,1
prod_00166,prod_00356,1
prod_00106,prod_00776,1
prod_00217,prod_00837,1
prod_00417,prod_00439,1
prod_00628,prod_00673,1
prod_00337,prod_00926,1
prod_00331,prod_00872,1
prod_00099,prod_00690,1
prod_00906,prod_00935,1
prod_00180,prod_00896,1
prod_00025,prod_00556,1
prod_00852,prod_00959,1
prod_00424,prod_00591,1
prod_00570,prod_00607,1
prod_00000,prod_00628,1
prod_00241,prod_00600,1
prod_00191,prod_00619,1
prod_00949,prod_00991,1
prod_00228,prod_00270,1
prod_00107,prod_00558,1
prod_00385,prod_00636,1
prod_00162,prod_00600,1
prod_00400,prod_00780,1
prod_00231,prod_00894,1
prod_00290,prod_00973,1
prod_00333,prod_00919,1
prod_00562,prod_00694,1
prod_00298,prod_00527,1
prod_00224,prod_00889,1
prod_00670,prod_00760,1
prod_00324,prod_00664,1
prod_00187,prod_00531,1
prod_00513,prod_00756,1
prod_00195,prod_00275,1
prod_00201,prod_00802,1
prod_00270,prod_00823,1
prod_00214,prod_00353,1
prod_00131,prod_00401,1
prod_00688,prod_00800,1
prod_00205,prod_00207,1
prod_00447,prod_00743,1
prod_00074,prod_00481,1
prod_00325,prod_00956,1
prod_00297,prod_00656,1
prod_00361,prod_00484,1
prod_00163,prod_00637,1
prod_00530,prod_00877,1
prod_00740,prod_00988,1
prod_00350,prod_00500,1
prod_00107,prod_00476,1
prod_00326,prod_00630,1
prod_00448,prod_00676,1
prod_00754,prod_00891,1
prod_00462,prod_00892,1
prod_00575,prod_00800,1
prod_00041,prod_00882,1
prod_00063,prod_00389,1
prod_00749,prod_00800,1
prod_00237,prod_00722,1
prod_00166,prod_00725,1
prod_00061,prod_00927,1
prod_00089,prod_00339,1
prod_00841,prod_00955,1
prod_00540,prod_00863,1
prod_00039,prod_00658,1
prod_00460,prod_00885,1
prod_00481,prod_00567,1
prod_00868,prod_00936,1
prod_00021,prod_00082,1
prod_00047,prod_00884,1
prod_00124,prod_00590,1
prod_00130,prod_00717,1
prod_00151,prod_00563,1
prod_00351,prod_00673,1
prod_00561,prod_00720,1
prod_00689,prod_00818,1
prod_00036,prod_00499,1
prod_00064,prod_00122,1
prod_00170,prod_00291,1
prod_00289,prod_00348,1
prod_00668,prod_00759,1
prod_00022,prod_00860,1
prod_00076,prod_00614,1
prod_00415,prod_00436,1
prod_00406,prod_00720,1
prod_00870,prod_00985,1
prod_00337,prod_00548,1
prod_00205,prod_00654,1
prod_00384,prod_00748,1
prod_00218,prod_00838,1
prod_00011,prod_00235,1
prod_00157,prod_00396,1
prod_00239,prod_00729,1
prod_00166,prod_00624,1
prod_00055,prod_00514,1
prod_00339,prod_00870,1
prod_00721,prod_00881,1
prod_00210,prod_00424,1
prod_00226,prod_00488,1
prod_00197,prod_00609,1
prod_00296,prod_00653,1
prod_00830,prod_00939,1
prod_00192,prod_00924,1
prod_00145,prod_00916,1
prod_00137,prod_00626,1
prod_00375,prod_00538,1
prod_00697,prod_00972,1
prod_00020,prod_00799,1
prod_00551,prod_00854,1
prod_00723,prod_00930,1
prod_00315,prod_00382,1
prod_00542,prod_00725,1
prod_00637,prod_00828,1
prod_00068,prod_00977,1
prod_00117,prod_00611,1
prod_00271,prod_00577,1
prod_00065,prod_00695,1
prod_00153,prod_00449,1
prod_00074,prod_00529,1
prod_00291,prod_00341,1
prod_00273,prod_00726,1
prod_00436,prod_00931,1
prod_00706,prod_00792,1
prod_00271,prod_00749,1
prod_00149,prod_00393,1
prod_00227,prod_00901,1
prod_00276,prod_00627,1
prod_00774,prod_00899,1
prod_00044,prod_00982,1
prod_00122,prod_00695,1
prod_00765,prod_00934,1
prod_00216,prod_00523,1
prod_00192,prod_00228,1
prod_00041,prod_00797,1
prod_00407,prod_00506,1
prod_00285,prod_00516,1
prod_00411,prod_00626,1
prod_00660,prod_00663,1
prod_00080,prod_00899,1
prod_00342,prod_00375,1
prod_00274,prod_00949,1
prod_00717,prod_00824,1
prod_00222,prod_00835,1
prod_00083,prod_00824,1
prod_00403,prod_00908,1
prod_00179,prod_00361,1
prod_00423,prod_00914,1
prod_00363,prod_00538,1
prod_00414,prod_00636,1
prod_00043,prod_00822,1
prod_00421,prod_00781,1
prod_00425,prod_00727,1
prod_00320,prod_00809,1
prod_00440,prod_00626,1
prod_00720,prod_00762,1
prod_00676,prod_00727,1
prod_00381,prod_00927,1
prod_00417,prod_00999,1
prod_00411,prod_00879,1
prod_00446,prod_00946,1
prod_00110,prod_00422,1
prod_00300,prod_00625,1
prod_00000,prod_00921,1
prod_00773,prod_00892,1
prod_00065,prod_00856,1
prod_00062,prod_00815,1
prod_00280,prod_00933,1
prod_00199,prod_00430,1
prod_00163,prod_00525,1
prod_00033,prod_00291,1
prod_00058,prod_00859,1
prod_00380,prod_00403,1
prod_00079,prod_00567,1
prod_00566,prod_00828,1
prod_00177,prod_00640,1
prod_00119,prod_00958,1
prod_00680,prod_00891,1
prod_00359,prod_00946,1
prod_00365,prod_00710,1
prod_00538,prod_00582,1
prod_00111,prod_00296,1
prod_00106,prod_00612,1
prod_00728,prod_00769,1
prod_00081,prod_00898,1
prod_00560,prod_00841,1
prod_00114,prod_00335,1
prod_00053,prod_00931,1
prod_00426,prod_00736,1
prod_00125,prod_00364,1
prod_00537,prod_00585,1
prod_00170,prod_00539,1
prod_00441,prod_00666,1
prod_00198,prod_00410,1
prod_00002,prod_00320,1
prod_00301,prod_00360,1
prod_00272,prod_00467,1
prod_00001,prod_00583,1
prod_00439,prod_00778,1
prod_00155,prod_00868,1
prod_00155,prod_00941,1
prod_00372,prod_00501,1
prod_00281,prod_00667,1
prod_00139,prod_00713,1
prod_00780,prod_00845,1
prod_00818,prod_00916,1
prod_00717,prod_00987,1
prod_00102,prod_00744,1
prod_00021,prod_00941,1
prod_00394,prod_00945,1
prod_00068,prod_00340,1
prod_00239,prod_00366,1
prod_00442,prod_00879,1
prod_00075,prod_00335,1
prod_00030,prod_00990,1
prod_00401,prod_00880,1
prod_00722,prod_00865,1
prod_00086,prod_00446,1
prod_00373,prod_00703,1
prod_00106,prod_00511,1
prod_00189,prod_00567,1
prod_00338,prod_00764,1
prod_00299,prod_00863,1
prod_00032,prod_00912,1
prod_00583,prod_00763,1
prod_00654,prod_00837,1
prod_00637,prod_00640,1
prod_00115,prod_00816,1
prod_00244,prod_00663,1
prod_00089,prod_00828,1
prod_00049,prod_00536,1
prod_00415,prod_00843,1
prod_00557,prod_00811,1
prod_00162,prod_00989,1
prod_00270,prod_00953,1
prod_00210,prod_00538,1
prod_00377,prod_00538,1
prod_00941,prod_00969,1
prod_00305,prod_00868,1
prod_00769,prod_00958,1
prod_00445,prod_00819,1
prod_00497,prod_00614,1
prod_00597,prod_00718,1
prod_00155,prod_00196,1
prod_00504,prod_00596,1
prod_00492,prod_00759,1
prod_00475,prod_00657,1
prod_00717,prod_00928,1
prod_00375,prod_00815,1
prod_00913,prod_00962,1
prod_00534,prod_00743,1
prod_00370,prod_00666,1
prod_00205,prod_00235,1
prod_00476,prod_00637,1
prod_00340,prod_00596,1
prod_00463,prod_00670,1
prod_00068,prod_00772,1
prod_00634,prod_00922,1
prod_00839,prod_00975,1
prod_00124,prod_00302,1
prod_00323,prod_00713,1
prod_00670,prod_00759,1
prod_00564,prod_00821,1
prod_00282,prod_00393,1
prod_00035,prod_00780,1
prod_00604,prod_00679,1
prod_00230,prod_00729,1
prod_00191,prod_00401,1
prod_00273,prod_00876,1
prod_00699,prod_00819,1
prod_00585,prod_00617,1
prod_00540,prod_00903,1
prod_00372,prod_00948,1
prod_00045,prod_00352,1
prod_00051,prod_00952,1
prod_00187,prod_00380,1
prod_00421,prod_00508,1
prod_00851,prod_00865,1
prod_00609,prod_00843,1
prod_00042,prod_00911,1
prod_00003,prod_00984,1
prod_00044,prod_00845,1
prod_00086,prod_00530,1
prod_00424,prod_00807,1
prod_00475,prod_00875,1
prod_00057,prod_00579,1
prod_00658,prod_00922,1
prod_00446,prod_00747,1
prod_00342,prod_00434,1
prod_00392,prod_00468,1
prod_00095,prod_00841,1
prod_00410,prod_00608,1
prod_00195,prod_00501,1
prod_00165,prod_00826,1
prod_00483,prod_00499,1
prod_00252,prod_00970,1
prod_00701,prod_00766,1
prod_00513,prod_00650,1
prod_00128,prod_00736,1
prod_00214,prod_00441,1
prod_00373,prod_00942,1
prod_00726,prod_00736,1
prod_00610,prod_00910,1
prod_00087,prod_00699,1
prod_00897,prod_00907,1
prod_00136,prod_00243,1
prod_00314,prod_00911,1
prod_00066,prod_00894,1
prod_00583,prod_00741,1
prod_00027,prod_00370,1
prod_00517,prod_00573,1
prod_00111,prod_00146,1
prod_00194,prod_00430,1
prod_00449,prod_00911,1
prod_00371,prod_00878,1
prod_00186,prod_00862,1
prod_00152,prod_00221,1
prod_00548,prod_00994,1
prod_00285,prod_00683,1
prod_00133,prod_00919,1
prod_00463,prod_00698,1
prod_00364,prod_00914,1
prod_00310,prod_00835,1
prod_00209,prod_00815,1
prod_00506,prod_00810,1
prod_00114,prod_00976,1
prod_00197,prod_00361,1
prod_00114,prod_00808,1
prod_00243,prod_00681,1
prod_00057,prod_00160,1
prod_00737,prod_00808,1
prod_00295,prod_00698,1
prod_00527,prod_00702,1
prod_00298,prod_00954,1
prod_00296,prod_00601,1
prod_00051,prod_00607,1
prod_00210,prod_00338,1
prod_00306,prod_00725,1
prod_00528,prod_00714,1
prod_00192,prod_00915,1
prod_00227,prod_00493,1
prod_00479,prod_00768,1
prod_00129,prod_00930,1
prod_00254,prod_00840,1
prod_00615,prod_00998,1
prod_00438,prod_00442,1
prod_00909,prod_00967,1
prod_00420,prod_00979,1
prod_00135,prod_00564,1
prod_00520,prod_00728,1
prod_00598,prod_00682,1
prod_00538,prod_00770,1
prod_00550,prod_00839,1
prod_00141,prod_00201,1
prod_00281,prod_00596,1
prod_00098,prod_00779,1
prod_00887,prod_00971,1
prod_00518,prod_00566,1
prod_00173,prod_00882,1
prod_00062,prod_00252,1
prod_00568,prod_00777,1
prod_00565,prod_00730,1
prod_00196,prod_00418,1
prod_00484,prod_00539,1
prod_00176,prod_00245,1
prod_00035,prod_00379,1
prod_00231,prod_00476,1
prod_00089,prod_00327,1
prod_00016,prod_00615,1
prod_00170,prod_00535,1
prod_00098,prod_00797,1
prod_00207,prod_00650,1
prod_00714,prod_00737,1
prod_00312,prod_00551,1
prod_00881,prod_00916,1
prod_00529,prod_00539,1
prod_00075,prod_00449,1
prod_00240,prod_00830,1
prod_00352,prod_00438,1
prod_00375,prod_00993,1
prod_00096,prod_00747,1
prod_00647,prod_00791,1
prod_00080,prod_00485,1
prod_00080,prod_00946,1
prod_00549,prod_00887,1
prod_00552,prod_00751,1
prod_00000,prod_00951,1
prod_00178,prod_00460,1
prod_00106,prod_00445,1
prod_00342,prod_00614,1
prod_00091,prod_00298,1
prod_00275,prod_00601,1
prod_00874,prod_00994,1
prod_00016,prod_00778,1
prod_00172,prod_00354,1
prod_00499,prod_00874,1
prod_00426,prod_00680,1
prod_00368,prod_00934,1
prod_00328,prod_00812,1
prod_00610,prod_00614,1
prod_00095,prod_00383,1
prod_00719,prod_00930,1
prod_00208,prod_00580,1
prod_00277,prod_00784,1
prod_00619,prod_00642,1
prod_00781,prod_00883,1
prod_00064,prod_00766,1
prod_00143,prod_00196,1
prod_00165,prod_00703,1
prod_00221,prod_00701,1
prod_00301,prod_00460,1
prod_00370,prod_00668,1
prod_00601,prod_00901,1
prod_00124,prod_00673,1
prod_00105,prod_00154,1
prod_00492,prod_00945,1
prod_00123,prod_00401,1
prod_00085,prod_00430,1
prod_00225,prod_00675,1
prod_00473,prod_00840,1
prod_00706,prod_00746,1
prod_00529,prod_00853,1
prod_00240,prod_00935,1
prod_00560,prod_00941,1
prod_00046,prod_00525,1
prod_00294,prod_00853,1
prod_00183,prod_00434,1
prod_00301,prod_00593,1
prod_00000,prod_00523,1
prod_00297,prod_00375,1
prod_00780,prod_00924,1
prod_00269,prod_00768,1
prod_00347,prod_00622,1
prod_00558,prod_00967,1
prod_00708,prod_00727,1
prod_00117,prod_00257,1
prod_00463,prod_00884,1
prod_00170,prod_00376,1
prod_00616,prod_00885,1
prod_00010,prod_00443,1
prod_00334,prod_00779,1
prod_00007,prod_00788,1
prod_00223,prod_00352,1
prod_00395,prod_00689,1
prod_00824,prod_00996,1
prod_00381,prod_00984,1
prod_00434,prod_00608,1
prod_00071,prod_00736,1
prod_00123,prod_00134,1
prod_00075,prod_00378,1
prod_00341,prod_00407,1
prod_00157,prod_00419,1
prod_00155,prod_00981,1
prod_00645,prod_00714,1
prod_00113,prod_00299,1
prod_00243,prod_00277,1
prod_00460,prod_00640,1
prod_00149,prod_00977,1
prod_00073,prod_00275,1
prod_00073,prod_00328,1
prod_00025,prod_00999,1
prod_00213,prod_00633,1
prod_00412,prod_00593,1
prod_00631,prod_00954,1
prod_00545,prod_00693,1
prod_00506,prod_00678,1
prod_00047,prod_00548,1
prod_00020,prod_00861,1
prod_00257,prod_00674,1
prod_00199,prod_00573,1
prod_00049,prod_00050,1
prod_00365,prod_00751,1
prod_00236,prod_00312,1
prod_00230,prod_00447,1
prod_00711,prod_00796,1
prod_00557,prod_00908,1
prod_00123,prod_00162,1
prod_00630,prod_00684,1
prod_00749,prod_00993,1
prod_00061,prod_00387,1
prod_00501,prod_00712,1
prod_00526,prod_00864,1
prod_00463,prod_00984,1
prod_00129,prod_00241,1
prod_00134,prod_00556,1
prod_00403,prod_00975,1
prod_00414,prod_00520,1
prod_00226,prod_00467,1
prod_00838,prod_00850,1
prod_00153,prod_00370,1
prod_00578,prod_00620,1
prod_00072,prod_00990,1
prod_00253,prod_00441,1
prod_00600,prod_00907,1
prod_00218,prod_00465,1
prod_00217,prod_00610,1
prod_00126,prod_00158,1
prod_00244,prod_00920,1
prod_00037,prod_00754,1
prod_00350,prod_00707,1
