rowkey,cf:user_id,cf:session_id,cf:start_time,cf:end_time,cf:duration_seconds,cf:conversion_status,cf:referrer,cf:page_views_count,cf:viewed_products_count,cf:geo_city,cf:geo_state,cf:geo_country,cf:device_type,cf:device_os,cf:device_browser
user_000000#2025-11-07T13:52:17#sess_c12d4a3b5a,user_000000,sess_c12d4a3b5a,2025-11-07T13:52:17,2025-11-07T14:03:25,668,browsed,affiliate,9,3,Lake Deborah,MS,GW,tablet,Android,Edge
user_000000#2025-11-11T18:59:28#sess_1df8e86db9,user_000000,sess_1df8e86db9,2025-11-11T18:59:28,2025-11-11T19:37:56,2308,abandoned,direct,16,9,Lake Deborah,MS,GW,mobile,Windows,Chrome
user_000000#2025-11-13T18:19:23#sess_477737340c,user_000000,sess_477737340c,2025-11-13T18:19:23,2025-11-13T18:40:54,1291,browsed,social,11,5,Lake Deborah,MS,GW,desktop,macOS,Chrome
user_000000#2025-11-20T12:27:15#sess_b47fe484ed,user_000000,sess_b47fe484ed,2025-11-20T12:27:15,2025-11-20T12:33:05,350,abandoned,direct,13,6,Lake Deborah,MS,GW,tablet,Windows,Chrome
user_000000#2025-11-20T16:15:11#sess_4e9f76826d,user_000000,sess_4e9f76826d,2025-11-20T16:15:11,2025-11-20T17:13:08,3477,browsed,direct,4,1,Lake Deborah,MS,GW,desktop,Windows,Firefox
user_000000#2025-11-21T02:08:08#sess_7da5de2c7b,user_000000,sess_7da5de2c7b,2025-11-21T02:08:08,2025-11-21T02:39:08,1860,abandoned,search_engine,6,3,Lake Deborah,MS,GW,mobile,Android,Edge
user_000000#2025-11-21T06:53:53#sess_728c413ff0,user_000000,sess_728c413ff0,2025-11-21T06:53:53,2025-11-21T07:39:27,2734,abandoned,search_engine,9,2,Lake Deborah,MS,GW,tablet,Windows,Chrome
user_000000#2025-11-29T08:09:42#sess_d218580cf4,user_000000,sess_d218580cf4,2025-11-29T08:09:42,2025-11-29T08:24:56,914,browsed,email,14,5,Lake Deborah,MS,GW,mobile,Android,Edge
user_000000#2025-11-29T12:39:19#sess_97cc086698,user_000000,sess_97cc086698,2025-11-29T12:39:19,2025-11-29T12:51:25,726,abandoned,search_engine,15,5,Lake Deborah,MS,GW,desktop,Windows,Safari
user_000000#2025-12-01T00:02:55#sess_055522b49b,user_000000,sess_055522b49b,2025-12-01T00:02:55,2025-12-01T00:31:01,1686,converted,email,15,4,Lake Deborah,MS,GW,desktop,macOS,Firefox
user_000000#2025-12-05T23:23:30#sess_4c63f13284,user_000000,sess_4c63f13284,2025-12-05T23:23:30,2025-12-06T00:21:46,3496,browsed,social,4,1,Lake Deborah,MS,GW,desktop,iOS,Safari
user_000000#2025-12-07T12:14:30#sess_b745321105,user_000000,sess_b745321105,2025-12-07T12:14:30,2025-12-07T12:22:45,495,abandoned,social,10,3,Lake Deborah,MS,GW,desktop,macOS,Chrome
user_000000#2025-12-07T18:05:34#sess_3e5c5eb0f9,user_000000,sess_3e5c5eb0f9,2025-12-07T18:05:34,2025-12-07T18:54:07,2913,abandoned,email,5,3,Lake Deborah,MS,GW,tablet,macOS,Edge
user_000000#2025-12-08T00:27:01#sess_85ea267d7d,user_000000,sess_85ea267d7d,2025-12-08T00:27:01,2025-12-08T00:46:59,1198,converted,affiliate,13,3,Lake Deborah,MS,GW,tablet,macOS,Firefox
user_000000#2025-12-09T02:23:52#sess_f3857c4fb7,user_000000,sess_f3857c4fb7,2025-12-09T02:23:52,2025-12-09T02:46:18,1346,abandoned,social,14,6,Lake Deborah,MS,GW,desktop,iOS,Edge
user_000000#2025-12-10T13:40:58#sess_8d966ce632,user_000000,sess_8d966ce632,2025-12-10T13:40:58,2025-12-10T13:59:32,1114,abandoned,social,8,3,Lake Deborah,MS,GW,desktop,iOS,Firefox
user_000000#2025-12-10T20:39:44#sess_546569bf7e,user_000000,sess_546569bf7e,2025-12-10T20:39:44,2025-12-10T20:42:28,164,browsed,social,5,2,Lake Deborah,MS,GW,desktop,macOS,Firefox
user_000000#2025-12-14T09:14:38#sess_eef82b60cd,user_000000,sess_eef82b60cd,2025-12-14T09:14:38,2025-12-14T09:32:58,1100,abandoned,affiliate,4,2,Lake Deborah,MS,GW,mobile,iOS,Chrome
user_000000#2025-12-15T10:30:45#sess_9e600516c8,user_000000,sess_9e600516c8,2025-12-15T10:30:45,2025-12-15T10:57:35,1610,browsed,search_engine,7,2,Lake Deborah,MS,GW,mobile,iOS,Chrome
user_000000#2025-12-18T03:07:29#sess_de124e2d7f,user_000000,sess_de124e2d7f,2025-12-18T03:07:29,2025-12-18T04:04:15,3406,abandoned,direct,6,2,Lake Deborah,MS,GW,tablet,Android,Safari
user_000000#2025-12-19T07:09:21#sess_7379cb7605,user_000000,sess_7379cb7605,2025-12-19T07:09:21,2025-12-19T08:02:02,3161,browsed,email,12,4,Lake Deborah,MS,GW,tablet,iOS,Firefox
user_000000#2025-12-19T09:06:36#sess_1b3de69c4e,user_000000,sess_1b3de69c4e,2025-12-19T09:06:36,2025-12-19T09:40:30,2034,browsed,search_engine,8,5,Lake Deborah,MS,GW,tablet,Android,Edge
user_000000#2025-12-19T13:22:32#sess_456f10f023,user_000000,sess_456f10f023,2025-12-19T13:22:32,2025-12-19T14:08:16,2744,converted,search_engine,7,1,Lake Deborah,MS,GW,desktop,Android,Chrome
user_000000#2025-12-21T15:30:33#sess_e35806c1ed,user_000000,sess_e35806c1ed,2025-12-21T15:30:33,2025-12-21T15:41:27,654,converted,email,15,6,Lake Deborah,MS,GW,mobile,iOS,Safari
user_000000#2025-12-23T06:56:06#sess_62d39b50a2,user_000000,sess_62d39b50a2,2025-12-23T06:56:06,2025-12-23T07:12:58,1012,abandoned,affiliate,14,5,Lake Deborah,MS,GW,desktop,Android,Safari
user_000000#2025-12-26T19:42:04#sess_56a4174611,user_000000,sess_56a4174611,2025-12-26T19:42:04,2025-12-26T19:52:34,630,browsed,affiliate,16,2,Lake Deborah,MS,GW,tablet,macOS,Edge
user_000000#2025-12-27T08:34:37#sess_d7d06379b7,user_000000,sess_d7d06379b7,2025-12-27T08:34:37,2025-12-27T09:07:44,1987,converted,search_engine,11,3,Lake Deborah,MS,GW,desktop,iOS,Chrome
user_000000#2025-12-27T14:49:11#sess_8e084f09f2,user_000000,sess_8e084f09f2,2025-12-27T14:49:11,2025-12-27T15:02:56,825,converted,search_engine,16,6,Lake Deborah,MS,GW,desktop,iOS,Edge
user_000000#2025-12-28T15:16:42#sess_c5f98953d4,user_000000,sess_c5f98953d4,2025-12-28T15:16:42,2025-12-28T16:04:03,2841,abandoned,affiliate,6,3,Lake Deborah,MS,GW,desktop,Android,Firefox
user_000000#2025-12-29T10:57:06#sess_32f38bb52c,user_000000,sess_32f38bb52c,2025-12-29T10:57:06,2025-12-29T11:06:56,590,converted,affiliate,8,2,Lake Deborah,MS,GW,desktop,iOS,Edge
user_000000#2026-01-01T17:16:51#sess_fee8db63d3,user_000000,sess_fee8db63d3,2026-01-01T17:16:51,2026-01-01T17:46:54,1803,browsed,search_engine,15,6,Lake Deborah,MS,GW,tablet,macOS,Chrome
user_000000#2026-01-01T19:23:39#sess_1413897e9a,user_000000,sess_1413897e9a,2026-01-01T19:23:39,2026-01-01T19:27:27,228,abandoned,search_engine,14,4,Lake Deborah,MS,GW,desktop,Windows,Chrome
user_000000#2026-01-02T23:06:10#sess_1634b2079a,user_000000,sess_1634b2079a,2026-01-02T23:06:10,2026-01-02T23:46:07,2397,abandoned,email,14,5,Lake Deborah,MS,GW,mobile,Android,Edge
user_000000#2026-01-08T15:12:21#sess_9371f25d4f,user_000000,sess_9371f25d4f,2026-01-08T15:12:21,2026-01-08T15:24:37,736,abandoned,direct,11,5,Lake Deborah,MS,GW,tablet,Windows,Firefox
user_000000#2026-01-10T02:59:13#sess_83e8efd3ce,user_000000,sess_83e8efd3ce,2026-01-10T02:59:13,2026-01-10T03:35:11,2158,abandoned,search_engine,13,6,Lake Deborah,MS,GW,mobile,iOS,Safari
user_000000#2026-01-10T08:42:54#sess_4710419beb,user_000000,sess_4710419beb,2026-01-10T08:42:54,2026-01-10T09:36:20,3206,abandoned,email,15,5,Lake Deborah,MS,GW,mobile,macOS,Chrome
user_000000#2026-01-10T10:18:56#sess_a0c3c5f916,user_000000,sess_a0c3c5f916,2026-01-10T10:18:56,2026-01-10T10:40:41,1305,browsed,direct,6,3,Lake Deborah,MS,GW,tablet,macOS,Firefox
user_000000#2026-01-10T12:47:37#sess_27007643d7,user_000000,sess_27007643d7,2026-01-10T12:47:37,2026-01-10T12:51:38,241,abandoned,affiliate,11,6,Lake Deborah,MS,GW,tablet,iOS,Chrome
user_000000#2026-01-11T23:12:28#sess_07c659fdff,user_000000,sess_07c659fdff,2026-01-11T23:12:28,2026-01-11T23:57:50,2722,browsed,email,7,2,Lake Deborah,MS,GW,tablet,Android,Edge
user_000000#2026-01-13T01:09:48#sess_3b614d3ac5,user_000000,sess_3b614d3ac5,2026-01-13T01:09:48,2026-01-13T01:49:16,2368,converted,search_engine,9,3,Lake Deborah,MS,GW,desktop,macOS,Chrome
user_000000#2026-01-15T09:48:25#sess_47db5c6825,user_000000,sess_47db5c6825,2026-01-15T09:48:25,2026-01-15T10:40:56,3151,converted,social,11,2,Lake Deborah,MS,GW,desktop,macOS,Firefox
user_000000#2026-01-15T18:08:56#sess_13777b6564,user_000000,sess_13777b6564,2026-01-15T18:08:56,2026-01-15T18:11:29,153,abandoned,direct,5,2,Lake Deborah,MS,GW,mobile,Windows,Chrome
user_000001#2025-10-21T18:25:12#sess_51792db97c,user_000001,sess_51792db97c,2025-10-21T18:25:12,2025-10-21T18:53:29,1697,browsed,social,4,1,Heatherton,MS,MW,mobile,Windows,Firefox
user_000001#2025-10-21T22:11:13#sess_7e742e80f4,user_000001,sess_7e742e80f4,2025-10-21T22:11:13,2025-10-21T22:49:14,2281,abandoned,affiliate,10,2,Heatherton,MS,MW,mobile,Android,Edge
user_000001#2025-10-26T00:23:05#sess_2388498fd5,user_000001,sess_2388498fd5,2025-10-26T00:23:05,2025-10-26T01:17:11,3246,browsed,email,4,1,Heatherton,MS,MW,tablet,Android,Firefox
user_000001#2025-10-26T23:01:43#sess_0a1e32192c,user_000001,sess_0a1e32192c,2025-10-26T23:01:43,2025-10-26T23:41:30,2387,converted,search_engine,9,3,Heatherton,MS,MW,mobile,Android,Safari
user_000001#2025-10-27T05:27:27#sess_1fde5f59ad,user_000001,sess_1fde5f59ad,2025-10-27T05:27:27,2025-10-27T05:57:58,1831,abandoned,affiliate,14,4,Heatherton,MS,MW,tablet,macOS,Chrome
user_000001#2025-10-27T09:44:51#sess_e58c468410,user_000001,sess_e58c468410,2025-10-27T09:44:51,2025-10-27T09:49:55,304,browsed,email,6,1,Heatherton,MS,MW,desktop,Windows,Chrome
user_000001#2025-10-29T13:50:27#sess_876bedbf7f,user_000001,sess_876bedbf7f,2025-10-29T13:50:27,2025-10-29T14:21:51,1884,converted,affiliate,15,7,Heatherton,MS,MW,tablet,Android,Chrome
user_000001#2025-10-30T12:46:53#sess_3512ad3cb2,user_000001,sess_3512ad3cb2,2025-10-30T12:46:53,2025-10-30T12:50:35,222,abandoned,direct,14,5,Heatherton,MS,MW,tablet,Android,Safari
user_000001#2025-10-31T12:48:09#sess_abb0029875,user_000001,sess_abb0029875,2025-10-31T12:48:09,2025-10-31T13:05:23,1034,converted,search_engine,16,4,Heatherton,MS,MW,desktop,Android,Safari
user_000001#2025-10-31T21:08:07#sess_6c1567d59f,user_000001,sess_6c1567d59f,2025-10-31T21:08:07,2025-10-31T21:22:47,880,browsed,email,6,1,Heatherton,MS,MW,desktop,iOS,Safari
user_000001#2025-11-01T01:55:19#sess_0e091cea50,user_000001,sess_0e091cea50,2025-11-01T01:55:19,2025-11-01T02:43:27,2888,converted,email,11,2,Heatherton,MS,MW,tablet,iOS,Chrome
user_000001#2025-11-01T02:58:29#sess_f0f3abd7db,user_000001,sess_f0f3abd7db,2025-11-01T02:58:29,2025-11-01T03:37:32,2343,converted,email,12,2,Heatherton,MS,MW,desktop,macOS,Firefox
user_000001#2025-11-03T00:53:12#sess_16160eab49,user_000001,sess_16160eab49,2025-11-03T00:53:12,2025-11-03T01:05:24,732,abandoned,direct,12,4,Heatherton,MS,MW,desktop,macOS,Edge
user_000001#2025-11-03T07:36:36#sess_91bf247cb7,user_000001,sess_91bf247cb7,2025-11-03T07:36:36,2025-11-03T08:01:27,1491,converted,social,12,4,Heatherton,MS,MW,mobile,Android,Chrome
user_000001#2025-11-05T00:04:09#sess_96782ce620,user_000001,sess_96782ce620,2025-11-05T00:04:09,2025-11-05T00:27:27,1398,converted,affiliate,16,8,Heatherton,MS,MW,tablet,iOS,Chrome
user_000001#2025-11-05T06:54:42#sess_7ce9a02f7b,user_000001,sess_7ce9a02f7b,2025-11-05T06:54:42,2025-11-05T07:34:32,2390,converted,email,9,2,Heatherton,MS,MW,desktop,iOS,Chrome
user_000001#2025-11-05T07:10:31#sess_cf78f93ccf,user_000001,sess_cf78f93ccf,2025-11-05T07:10:31,2025-11-05T07:55:20,2689,abandoned,email,9,4,Heatherton,MS,MW,tablet,Windows,Edge
user_000001#2025-11-05T13:03:21#sess_bd660cd709,user_000001,sess_bd660cd709,2025-11-05T13:03:21,2025-11-05T13:45:41,2540,abandoned,email,6,1,Heatherton,MS,MW,tablet,Android,Safari
user_000001#2025-11-06T17:34:27#sess_285ba8366d,user_000001,sess_285ba8366d,2025-11-06T17:34:27,2025-11-06T17:35:42,75,converted,social,8,2,Heatherton,MS,MW,mobile,iOS,Safari
user_000001#2025-11-07T21:52:59#sess_8baeee4111,user_000001,sess_8baeee4111,2025-11-07T21:52:59,2025-11-07T22:40:58,2879,browsed,email,5,1,Heatherton,MS,MW,desktop,Windows,Chrome
user_000001#2025-11-11T02:26:23#sess_5ef56b123a,user_000001,sess_5ef56b123a,2025-11-11T02:26:23,2025-11-11T03:14:09,2866,browsed,social,6,2,Heatherton,MS,MW,mobile,iOS,Safari
user_000001#2025-11-13T23:28:54#sess_5042fccf35,user_000001,sess_5042fccf35,2025-11-13T23:28:54,2025-11-14T00:21:52,3178,browsed,email,5,1,Heatherton,MS,MW,desktop,Windows,Edge
user_000001#2025-11-15T17:18:09#sess_98bf2c99b1,user_000001,sess_98bf2c99b1,2025-11-15T17:18:09,2025-11-15T17:55:40,2251,abandoned,direct,12,3,Heatherton,MS,MW,mobile,macOS,Chrome
user_000001#2025-11-20T17:36:47#sess_8da5159c70,user_000001,sess_8da5159c70,2025-11-20T17:36:47,2025-11-20T18:14:15,2248,converted,email,16,5,Heatherton,MS,MW,mobile,macOS,Firefox
user_000001#2025-11-27T07:23:21#sess_b83f6bb44d,user_000001,sess_b83f6bb44d,2025-11-27T07:23:21,2025-11-27T07:58:08,2087,abandoned,email,11,4,Heatherton,MS,MW,mobile,iOS,Firefox
user_000001#2025-11-27T18:38:07#sess_45e95dde89,user_000001,sess_45e95dde89,2025-11-27T18:38:07,2025-11-27T18:48:38,631,browsed,search_engine,6,2,Heatherton,MS,MW,mobile,Windows,Firefox
user_000001#2025-12-01T18:48:23#sess_5a952dea59,user_000001,sess_5a952dea59,2025-12-01T18:48:23,2025-12-01T18:59:38,675,browsed,social,13,4,Heatherton,MS,MW,mobile,macOS,Safari
user_000001#2025-12-07T23:10:05#sess_fe1611598b,user_000001,sess_fe1611598b,2025-12-07T23:10:05,2025-12-07T23:58:17,2892,abandoned,email,13,4,Heatherton,MS,MW,desktop,iOS,Safari
user_000001#2025-12-08T12:40:21#sess_f7a7a9c491,user_000001,sess_f7a7a9c491,2025-12-08T12:40:21,2025-12-08T13:07:51,1650,browsed,email,5,1,Heatherton,MS,MW,tablet,iOS,Chrome
user_000001#2025-12-10T18:02:51#sess_a33ba01309,user_000001,sess_a33ba01309,2025-12-10T18:02:51,2025-12-10T18:53:22,3031,abandoned,social,4,1,Heatherton,MS,MW,desktop,macOS,Firefox
user_000001#2025-12-12T03:28:34#sess_0f6afe08c3,user_000001,sess_0f6afe08c3,2025-12-12T03:28:34,2025-12-12T03:52:12,1418,abandoned,affiliate,8,3,Heatherton,MS,MW,mobile,Android,Safari
user_000001#2025-12-14T09:43:47#sess_3e7e09fd95,user_000001,sess_3e7e09fd95,2025-12-14T09:43:47,2025-12-14T10:31:38,2871,converted,direct,14,3,Heatherton,MS,MW,mobile,Android,Chrome
user_000001#2025-12-16T06:09:09#sess_f2f6a3932b,user_000001,sess_f2f6a3932b,2025-12-16T06:09:09,2025-12-16T06:58:07,2938,browsed,search_engine,5,1,Heatherton,MS,MW,mobile,macOS,Safari
user_000001#2025-12-16T23:48:19#sess_03201551cb,user_000001,sess_03201551cb,2025-12-16T23:48:19,2025-12-16T23:58:52,633,converted,search_engine,12,5,Heatherton,MS,MW,tablet,macOS,Chrome
user_000001#2025-12-24T12:08:25#sess_dbdfe981b3,user_000001,sess_dbdfe981b3,2025-12-24T12:08:25,2025-12-24T12:52:37,2652,abandoned,search_engine,7,3,Heatherton,MS,MW,desktop,iOS,Firefox
user_000001#2025-12-26T06:01:56#sess_f92aa11c12,user_000001,sess_f92aa11c12,2025-12-26T06:01:56,2025-12-26T06:17:21,925,converted,search_engine,15,4,Heatherton,MS,MW,desktop,iOS,Firefox
user_000001#2025-12-27T12:22:58#sess_52d8fbe32b,user_000001,sess_52d8fbe32b,2025-12-27T12:22:58,2025-12-27T13:21:36,3518,browsed,direct,8,2,Heatherton,MS,MW,tablet,iOS,Edge
user_000001#2025-12-30T03:23:03#sess_2501401164,user_000001,sess_2501401164,2025-12-30T03:23:03,2025-12-30T04:22:45,3582,browsed,direct,5,2,Heatherton,MS,MW,desktop,Android,Chrome
user_000001#2025-12-30T17:01:14#sess_99bb2ee1fd,user_000001,sess_99bb2ee1fd,2025-12-30T17:01:14,2025-12-30T17:37:18,2164,abandoned,affiliate,7,3,Heatherton,MS,MW,desktop,Android,Safari
user_000001#2026-01-01T06:07:17#sess_4ac1d2a6c3,user_000001,sess_4ac1d2a6c3,2026-01-01T06:07:17,2026-01-01T06:53:24,2767,browsed,affiliate,5,2,Heatherton,MS,MW,mobile,iOS,Safari
user_000001#2026-01-02T07:05:21#sess_7bee873ed2,user_000001,sess_7bee873ed2,2026-01-02T07:05:21,2026-01-02T07:25:59,1238,browsed,search_engine,6,1,Heatherton,MS,MW,mobile,Windows,Chrome
user_000001#2026-01-04T11:01:36#sess_8303290f35,user_000001,sess_8303290f35,2026-01-04T11:01:36,2026-01-04T11:33:56,1940,abandoned,search_engine,14,7,Heatherton,MS,MW,mobile,macOS,Chrome
user_000001#2026-01-04T18:53:58#sess_5efd42a325,user_000001,sess_5efd42a325,2026-01-04T18:53:58,2026-01-04T18:59:25,327,browsed,direct,11,3,Heatherton,MS,MW,tablet,macOS,Safari
user_000001#2026-01-04T23:02:50#sess_96dca0e3be,user_000001,sess_96dca0e3be,2026-01-04T23:02:50,2026-01-05T00:02:13,3563,abandoned,direct,11,3,Heatherton,MS,MW,tablet,macOS,Chrome
user_000001#2026-01-04T23:53:07#sess_5960ea62bb,user_000001,sess_5960ea62bb,2026-01-04T23:53:07,2026-01-05T00:15:25,1338,abandoned,affiliate,16,6,Heatherton,MS,MW,desktop,iOS,Safari
user_000001#2026-01-05T04:05:16#sess_55c421d90b,user_000001,sess_55c421d90b,2026-01-05T04:05:16,2026-01-05T04:40:32,2116,abandoned,search_engine,14,3,Heatherton,MS,MW,mobile,Windows,Chrome
user_000001#2026-01-05T04:21:49#sess_42bdc829d6,user_000001,sess_42bdc829d6,2026-01-05T04:21:49,2026-01-05T05:07:10,2721,browsed,direct,11,5,Heatherton,MS,MW,desktop,Windows,Safari
user_000001#2026-01-06T17:19:52#sess_4dcdb73cc4,user_000001,sess_4dcdb73cc4,2026-01-06T17:19:52,2026-01-06T18:19:37,3585,browsed,social,10,2,Heatherton,MS,MW,desktop,macOS,Safari
user_000001#2026-01-07T01:49:30#sess_8368f51050,user_000001,sess_8368f51050,2026-01-07T01:49:30,2026-01-07T02:04:32,902,abandoned,search_engine,4,1,Heatherton,MS,MW,tablet,Android,Firefox
user_000001#2026-01-10T00:58:41#sess_29c53b09bb,user_000001,sess_29c53b09bb,2026-01-10T00:58:41,2026-01-10T01:53:54,3313,abandoned,email,11,4,Heatherton,MS,MW,desktop,Windows,Safari
user_000001#2026-01-11T06:37:25#sess_e28a53f601,user_000001,sess_e28a53f601,2026-01-11T06:37:25,2026-01-11T07:26:46,2961,converted,email,13,6,Heatherton,MS,MW,tablet,Android,Chrome
user_000001#2026-01-12T02:18:31#sess_dc1f8bd6d8,user_000001,sess_dc1f8bd6d8,2026-01-12T02:18:31,2026-01-12T03:16:05,3454,browsed,affiliate,12,2,Heatherton,MS,MW,tablet,macOS,Firefox
user_000001#2026-01-15T16:11:19#sess_0b561bed57,user_000001,sess_0b561bed57,2026-01-15T16:11:19,2026-01-15T16:49:49,2310,converted,social,11,4,Heatherton,MS,MW,mobile,macOS,Chrome
user_000001#2026-01-16T23:50:11#sess_766718aeba,user_000001,sess_766718aeba,2026-01-16T23:50:11,2026-01-17T00:15:35,1524,converted,search_engine,12,4,Heatherton,MS,MW,tablet,Windows,Chrome
user_000001#2026-01-18T11:17:01#sess_9c644aa66a,user_000001,sess_9c644aa66a,2026-01-18T11:17:01,2026-01-18T11:25:13,492,abandoned,direct,9,1,Heatherton,MS,MW,tablet,macOS,Edge
user_000002#2025-10-21T03:25:03#sess_b9be2a6af2,user_000002,sess_b9be2a6af2,2025-10-21T03:25:03,2025-10-21T03:29:00,237,abandoned,affiliate,8,4,Tammyton,AL,CH,mobile,iOS,Safari
user_000002#2025-10-26T11:25:09#sess_02aaac211a,user_000002,sess_02aaac211a,2025-10-26T11:25:09,2025-10-26T12:01:27,2178,browsed,email,7,2,Tammyton,AL,CH,mobile,Windows,Firefox
user_000002#2025-11-07T21:39:07#sess_0aae76334d,user_000002,sess_0aae76334d,2025-11-07T21:39:07,2025-11-07T21:42:26,199,converted,direct,8,3,Tammyton,AL,CH,mobile,macOS,Edge
user_000002#2025-11-08T04:04:42#sess_f9a471d51a,user_000002,sess_f9a471d51a,2025-11-08T04:04:42,2025-11-08T04:34:20,1778,abandoned,search_engine,14,8,Tammyton,AL,CH,tablet,iOS,Safari
user_000002#2025-11-08T22:15:07#sess_413adf21a8,user_000002,sess_413adf21a8,2025-11-08T22:15:07,2025-11-08T22:20:55,348,abandoned,email,16,6,Tammyton,AL,CH,tablet,macOS,Chrome
user_000002#2025-11-09T19:04:57#sess_a73c2c0d5d,user_000002,sess_a73c2c0d5d,2025-11-09T19:04:57,2025-11-09T19:26:01,1264,browsed,email,14,3,Tammyton,AL,CH,mobile,macOS,Chrome
user_000002#2025-11-09T19:13:01#sess_8ecb15c351,user_000002,sess_8ecb15c351,2025-11-09T19:13:01,2025-11-09T19:37:35,1474,browsed,direct,8,1,Tammyton,AL,CH,tablet,Android,Safari
user_000002#2025-11-11T15:28:16#sess_3527535e81,user_000002,sess_3527535e81,2025-11-11T15:28:16,2025-11-11T15:49:19,1263,abandoned,social,8,3,Tammyton,AL,CH,desktop,Android,Edge
user_000002#2025-11-14T01:42:35#sess_752bf235ef,user_000002,sess_752bf235ef,2025-11-14T01:42:35,2025-11-14T02:41:57,3562,abandoned,email,5,2,Tammyton,AL,CH,mobile,Android,Safari
user_000002#2025-11-14T18:53:37#sess_8906225c89,user_000002,sess_8906225c89,2025-11-14T18:53:37,2025-11-14T19:19:22,1545,browsed,social,5,0,Tammyton,AL,CH,mobile,macOS,Chrome
user_000002#2025-11-17T03:18:46#sess_3d2d9e618d,user_000002,sess_3d2d9e618d,2025-11-17T03:18:46,2025-11-17T03:26:48,482,browsed,email,4,2,Tammyton,AL,CH,mobile,iOS,Chrome
user_000002#2025-11-19T03:01:35#sess_5044882e22,user_000002,sess_5044882e22,2025-11-19T03:01:35,2025-11-19T03:48:00,2785,browsed,email,5,2,Tammyton,AL,CH,mobile,macOS,Safari
user_000002#2025-11-19T21:23:23#sess_fec45db753,user_000002,sess_fec45db753,2025-11-19T21:23:23,2025-11-19T21:39:57,994,abandoned,affiliate,10,4,Tammyton,AL,CH,desktop,Windows,Chrome
user_000002#2025-11-21T11:25:34#sess_7fb7a380a1,user_000002,sess_7fb7a380a1,2025-11-21T11:25:34,2025-11-21T11:33:49,495,converted,social,11,2,Tammyton,AL,CH,tablet,Android,Edge
user_000002#2025-11-25T13:47:04#sess_ebd0b66fdf,user_000002,sess_ebd0b66fdf,2025-11-25T13:47:04,2025-11-25T13:56:41,577,browsed,social,13,4,Tammyton,AL,CH,mobile,iOS,Chrome
user_000002#2025-11-25T21:13:38#sess_341c53a56d,user_000002,sess_341c53a56d,2025-11-25T21:13:38,2025-11-25T21:29:05,927,converted,search_engine,9,3,Tammyton,AL,CH,mobile,Android,Chrome
user_000002#2025-11-26T08:24:59#sess_9d6a00d342,user_000002,sess_9d6a00d342,2025-11-26T08:24:59,2025-11-26T09:09:28,2669,abandoned,email,15,7,Tammyton,AL,CH,tablet,Windows,Chrome
